class_of_vehicle,duration_of_day,weather_type,count_of_vehicles,wi,vi,ti
bus,dawn,snow,17,1.4,1.2,1.0
car,dusk,clear,17,1.0,1.0,0.97
bike,dawn,fog,26,1.15,0.8,1.0
bike,night,snow,28,1.4,0.8,0.81
bus,dusk,clear,32,1.0,1.2,0.97
bus,dawn,rain,32,1.25,1.2,1.0
bus,night,clear,39,1.0,1.2,0.96
bike,night,fog,34,1.15,0.8,0.81
bus,night,clear,4,1.0,1.2,0.96
bike,dawn,snow,14,1.4,0.8,1.0
car,day,clear,13,1.0,1.0,1.0
bus,day,fog,41,1.15,1.2,0.91
bus,night,fog,49,1.15,1.2,0.81
bus,dawn,snow,31,1.4,1.2,1.0
bike,night,snow,23,1.4,0.8,0.81
bus,dusk,rain,36,1.25,1.2,1.0
bike,night,clear,40,1.0,0.8,0.96
bus,night,rain,4,1.25,1.2,0.92
bike,dawn,clear,47,1.0,0.8,0.97
bus,dusk,snow,21,1.4,1.2,1.0
bus,dawn,snow,38,1.4,1.2,1.0
car,dusk,clear,46,1.0,1.0,0.97
bike,dawn,clear,46,1.0,0.8,0.97
car,dusk,fog,46,1.15,1.0,1.0
bus,dusk,clear,13,1.0,1.2,0.97
bus,dawn,rain,28,1.25,1.2,1.0
bike,dusk,clear,9,1.0,0.8,0.97
bus,night,rain,49,1.25,1.2,0.92
bus,dusk,snow,10,1.4,1.2,1.0
bike,dawn,fog,22,1.15,0.8,1.0
bus,day,fog,46,1.15,1.2,0.91
bike,dusk,snow,23,1.4,0.8,1.0
car,night,clear,50,1.0,1.0,0.96
bike,dusk,rain,22,1.25,0.8,1.0
bus,night,rain,16,1.25,1.2,0.92
car,dusk,rain,25,1.25,1.0,1.0
bus,night,rain,5,1.25,1.2,0.92
bike,dusk,rain,50,1.25,0.8,1.0
bike,dawn,clear,24,1.0,0.8,0.97
bus,night,snow,31,1.4,1.2,0.81
bike,day,clear,13,1.0,0.8,1.0
bus,dusk,rain,13,1.25,1.2,1.0
car,dusk,rain,38,1.25,1.0,1.0
bus,dusk,rain,36,1.25,1.2,1.0
bus,dusk,rain,40,1.25,1.2,1.0
car,dawn,rain,32,1.25,1.0,1.0
car,day,rain,36,1.25,1.0,0.95
bus,night,fog,4,1.15,1.2,0.81
bus,dusk,rain,42,1.25,1.2,1.0
bus,day,rain,17,1.25,1.2,0.95
bike,night,fog,22,1.15,0.8,0.81
bus,night,fog,4,1.15,1.2,0.81
bus,dusk,rain,2,1.25,1.2,1.0
bus,dusk,fog,41,1.15,1.2,1.0
bus,day,snow,19,1.4,1.2,0.91
car,night,snow,14,1.4,1.0,0.81
bike,day,snow,50,1.4,0.8,0.91
bus,day,fog,2,1.15,1.2,0.91
bike,night,fog,8,1.15,0.8,0.81
bus,night,snow,9,1.4,1.2,0.81
bike,night,clear,5,1.0,0.8,0.96
car,dawn,fog,11,1.15,1.0,1.0
car,day,clear,26,1.0,1.0,1.0
car,dawn,rain,11,1.25,1.0,1.0
car,day,fog,10,1.15,1.0,0.91
car,dusk,fog,35,1.15,1.0,1.0
bus,day,rain,5,1.25,1.2,0.95
car,dusk,clear,16,1.0,1.0,0.97
bike,night,rain,29,1.25,0.8,0.92
bike,night,rain,35,1.25,0.8,0.92
car,dusk,rain,8,1.25,1.0,1.0
bike,dusk,snow,5,1.4,0.8,1.0
bike,dawn,clear,7,1.0,0.8,0.97
bus,dusk,rain,12,1.25,1.2,1.0
bike,day,rain,18,1.25,0.8,0.95
car,dusk,snow,8,1.4,1.0,1.0
car,dawn,clear,27,1.0,1.0,0.97
bus,dawn,snow,20,1.4,1.2,1.0
bike,dawn,rain,39,1.25,0.8,1.0
bus,night,clear,38,1.0,1.2,0.96
bus,day,fog,32,1.15,1.2,0.91
bus,dusk,rain,1,1.25,1.2,1.0
bike,night,clear,42,1.0,0.8,0.96
car,dawn,rain,12,1.25,1.0,1.0
bus,dawn,clear,5,1.0,1.2,0.97
bike,dusk,fog,37,1.15,0.8,1.0
bike,night,rain,31,1.25,0.8,0.92
bus,night,snow,10,1.4,1.2,0.81
bike,night,rain,2,1.25,0.8,0.92
bus,dusk,clear,16,1.0,1.2,0.97
car,day,rain,25,1.25,1.0,0.95
bike,dusk,clear,3,1.0,0.8,0.97
bus,night,fog,6,1.15,1.2,0.81
bus,dusk,fog,39,1.15,1.2,1.0
bike,night,clear,39,1.0,0.8,0.96
bus,day,snow,18,1.4,1.2,0.91
bike,day,fog,50,1.15,0.8,0.91
car,day,snow,21,1.4,1.0,0.91
bike,day,clear,10,1.0,0.8,1.0
bike,day,rain,17,1.25,0.8,0.95
bike,dawn,snow,45,1.4,0.8,1.0
car,day,rain,25,1.25,1.0,0.95
bike,day,rain,32,1.25,0.8,0.95
bus,dusk,rain,4,1.25,1.2,1.0
car,night,clear,1,1.0,1.0,0.96
car,dusk,rain,8,1.25,1.0,1.0
bus,night,snow,22,1.4,1.2,0.81
car,day,clear,11,1.0,1.0,1.0
bike,day,snow,35,1.4,0.8,0.91
bus,dusk,rain,3,1.25,1.2,1.0
bus,day,snow,44,1.4,1.2,0.91
car,night,clear,30,1.0,1.0,0.96
bike,dawn,snow,41,1.4,0.8,1.0
bike,day,snow,2,1.4,0.8,0.91
car,night,snow,12,1.4,1.0,0.81
bike,night,fog,34,1.15,0.8,0.81
car,dawn,snow,32,1.4,1.0,1.0
car,day,clear,32,1.0,1.0,1.0
bus,day,rain,36,1.25,1.2,0.95
car,night,snow,7,1.4,1.0,0.81
car,dusk,clear,19,1.0,1.0,0.97
bus,night,fog,41,1.15,1.2,0.81
bike,dawn,snow,21,1.4,0.8,1.0
bike,night,clear,30,1.0,0.8,0.96
bike,dusk,fog,26,1.15,0.8,1.0
bus,dusk,clear,23,1.0,1.2,0.97
car,dusk,clear,2,1.0,1.0,0.97
car,dawn,snow,2,1.4,1.0,1.0
bike,day,clear,31,1.0,0.8,1.0
bus,dawn,clear,29,1.0,1.2,0.97
bus,dawn,clear,13,1.0,1.2,0.97
bus,day,fog,13,1.15,1.2,0.91
bike,dawn,snow,32,1.4,0.8,1.0
car,dawn,snow,19,1.4,1.0,1.0
car,dusk,rain,36,1.25,1.0,1.0
car,dusk,rain,28,1.25,1.0,1.0
car,dusk,rain,1,1.25,1.0,1.0
car,dawn,clear,9,1.0,1.0,0.97
car,dusk,rain,47,1.25,1.0,1.0
car,dawn,rain,44,1.25,1.0,1.0
bike,night,snow,38,1.4,0.8,0.81
bus,day,clear,39,1.0,1.2,1.0
bike,dawn,rain,14,1.25,0.8,1.0
bike,night,fog,28,1.15,0.8,0.81
bus,dusk,fog,17,1.15,1.2,1.0
car,dusk,fog,43,1.15,1.0,1.0
car,dusk,snow,3,1.4,1.0,1.0
bike,dawn,clear,33,1.0,0.8,0.97
bike,night,fog,42,1.15,0.8,0.81
bike,night,snow,10,1.4,0.8,0.81
bus,night,fog,38,1.15,1.2,0.81
bike,day,fog,49,1.15,0.8,0.91
bike,night,fog,22,1.15,0.8,0.81
bike,dawn,clear,2,1.0,0.8,0.97
bike,dawn,rain,8,1.25,0.8,1.0
bike,night,snow,29,1.4,0.8,0.81
bike,dusk,rain,39,1.25,0.8,1.0
bus,night,fog,46,1.15,1.2,0.81
bus,dawn,clear,28,1.0,1.2,0.97
bus,dawn,clear,8,1.0,1.2,0.97
bus,dusk,snow,25,1.4,1.2,1.0
bike,night,rain,10,1.25,0.8,0.92
bus,dusk,fog,4,1.15,1.2,1.0
bus,night,snow,12,1.4,1.2,0.81
bike,dusk,snow,44,1.4,0.8,1.0
bus,dusk,snow,36,1.4,1.2,1.0
bike,dusk,clear,18,1.0,0.8,0.97
car,dawn,fog,34,1.15,1.0,1.0
bike,dawn,fog,47,1.15,0.8,1.0
car,day,rain,13,1.25,1.0,0.95
bike,day,snow,47,1.4,0.8,0.91
bike,dawn,rain,13,1.25,0.8,1.0
car,day,snow,27,1.4,1.0,0.91
bus,dawn,clear,29,1.0,1.2,0.97
bus,day,rain,19,1.25,1.2,0.95
bike,night,rain,2,1.25,0.8,0.92
bike,dusk,clear,50,1.0,0.8,0.97
car,night,clear,4,1.0,1.0,0.96
bus,night,fog,15,1.15,1.2,0.81
bike,dawn,fog,28,1.15,0.8,1.0
bus,dawn,fog,9,1.15,1.2,1.0
bus,day,clear,15,1.0,1.2,1.0
bike,day,snow,9,1.4,0.8,0.91
car,dusk,fog,18,1.15,1.0,1.0
bus,day,rain,17,1.25,1.2,0.95
bus,dawn,rain,49,1.25,1.2,1.0
car,night,clear,28,1.0,1.0,0.96
bike,dawn,clear,35,1.0,0.8,0.97
bike,dusk,snow,31,1.4,0.8,1.0
bus,dawn,snow,49,1.4,1.2,1.0
bus,night,snow,16,1.4,1.2,0.81
car,dawn,clear,49,1.0,1.0,0.97
bus,dusk,clear,43,1.0,1.2,0.97
car,dawn,rain,7,1.25,1.0,1.0
car,night,snow,39,1.4,1.0,0.81
car,dusk,clear,21,1.0,1.0,0.97
bike,day,snow,43,1.4,0.8,0.91
car,day,fog,45,1.15,1.0,0.91
car,dawn,rain,50,1.25,1.0,1.0
car,dawn,snow,9,1.4,1.0,1.0
bus,dawn,clear,41,1.0,1.2,0.97
bike,day,clear,5,1.0,0.8,1.0
bike,night,fog,9,1.15,0.8,0.81
bike,day,clear,21,1.0,0.8,1.0
bus,day,fog,34,1.15,1.2,0.91
bike,dawn,snow,18,1.4,0.8,1.0
car,dusk,rain,28,1.25,1.0,1.0
car,dawn,clear,31,1.0,1.0,0.97
bike,day,clear,37,1.0,0.8,1.0
bus,dawn,clear,26,1.0,1.2,0.97
bike,dusk,clear,49,1.0,0.8,0.97
car,dusk,fog,40,1.15,1.0,1.0
bike,day,snow,44,1.4,0.8,0.91
car,dawn,clear,45,1.0,1.0,0.97
bike,night,snow,21,1.4,0.8,0.81
bike,night,clear,17,1.0,0.8,0.96
car,night,fog,15,1.15,1.0,0.81
bike,night,snow,35,1.4,0.8,0.81
bus,dusk,clear,30,1.0,1.2,0.97
bike,dawn,rain,41,1.25,0.8,1.0
car,dusk,rain,48,1.25,1.0,1.0
bus,night,snow,44,1.4,1.2,0.81
bus,dawn,clear,30,1.0,1.2,0.97
car,night,snow,23,1.4,1.0,0.81
bus,day,rain,42,1.25,1.2,0.95
car,dusk,clear,4,1.0,1.0,0.97
car,night,rain,40,1.25,1.0,0.92
car,dusk,rain,44,1.25,1.0,1.0
car,day,snow,41,1.4,1.0,0.91
bike,night,clear,14,1.0,0.8,0.96
car,dusk,fog,19,1.15,1.0,1.0
car,dusk,snow,18,1.4,1.0,1.0
bike,dawn,fog,31,1.15,0.8,1.0
car,dusk,snow,45,1.4,1.0,1.0
bus,day,rain,47,1.25,1.2,0.95
bus,day,clear,1,1.0,1.2,1.0
bike,night,rain,35,1.25,0.8,0.92
bike,day,fog,46,1.15,0.8,0.91
bike,dawn,snow,6,1.4,0.8,1.0
car,dusk,snow,14,1.4,1.0,1.0
bike,day,rain,8,1.25,0.8,0.95
bike,dawn,rain,3,1.25,0.8,1.0
bike,dusk,rain,9,1.25,0.8,1.0
car,dusk,rain,18,1.25,1.0,1.0
car,dawn,fog,2,1.15,1.0,1.0
car,dusk,rain,36,1.25,1.0,1.0
car,night,snow,30,1.4,1.0,0.81
bus,day,clear,7,1.0,1.2,1.0
bus,dawn,rain,48,1.25,1.2,1.0
bus,night,fog,12,1.15,1.2,0.81
bike,night,rain,48,1.25,0.8,0.92
bus,dusk,rain,24,1.25,1.2,1.0
bus,dusk,rain,25,1.25,1.2,1.0
bus,dawn,rain,16,1.25,1.2,1.0
bike,day,rain,19,1.25,0.8,0.95
bus,day,rain,39,1.25,1.2,0.95
car,dusk,clear,14,1.0,1.0,0.97
bike,dawn,clear,45,1.0,0.8,0.97
bus,dusk,fog,38,1.15,1.2,1.0
bus,day,snow,14,1.4,1.2,0.91
bus,day,snow,45,1.4,1.2,0.91
car,night,clear,5,1.0,1.0,0.96
bus,dusk,clear,24,1.0,1.2,0.97
car,dusk,fog,48,1.15,1.0,1.0
car,day,fog,30,1.15,1.0,0.91
bus,day,rain,26,1.25,1.2,0.95
bike,night,fog,44,1.15,0.8,0.81
bus,dawn,fog,17,1.15,1.2,1.0
bike,dusk,rain,38,1.25,0.8,1.0
bus,night,fog,8,1.15,1.2,0.81
car,dawn,rain,25,1.25,1.0,1.0
car,dawn,fog,13,1.15,1.0,1.0
bus,dusk,rain,33,1.25,1.2,1.0
bike,dusk,fog,17,1.15,0.8,1.0
bike,day,rain,27,1.25,0.8,0.95
bus,night,clear,22,1.0,1.2,0.96
bike,dusk,fog,35,1.15,0.8,1.0
bike,day,fog,41,1.15,0.8,0.91
bus,dawn,clear,13,1.0,1.2,0.97
car,dusk,rain,14,1.25,1.0,1.0
bus,dusk,snow,27,1.4,1.2,1.0
bike,dawn,rain,34,1.25,0.8,1.0
bike,dusk,clear,4,1.0,0.8,0.97
bus,night,rain,28,1.25,1.2,0.92
car,dawn,fog,23,1.15,1.0,1.0
bike,dusk,fog,39,1.15,0.8,1.0
car,dusk,fog,12,1.15,1.0,1.0
bike,day,rain,38,1.25,0.8,0.95
bike,dusk,fog,45,1.15,0.8,1.0
bus,dusk,clear,43,1.0,1.2,0.97
bus,night,clear,29,1.0,1.2,0.96
car,dawn,snow,21,1.4,1.0,1.0
bike,night,fog,42,1.15,0.8,0.81
bus,dusk,clear,2,1.0,1.2,0.97
car,night,snow,10,1.4,1.0,0.81
bike,dusk,clear,32,1.0,0.8,0.97
bike,dusk,fog,4,1.15,0.8,1.0
car,dusk,snow,36,1.4,1.0,1.0
car,day,clear,11,1.0,1.0,1.0
bus,night,fog,8,1.15,1.2,0.81
car,night,snow,32,1.4,1.0,0.81
car,day,fog,40,1.15,1.0,0.91
bike,night,snow,28,1.4,0.8,0.81
car,dusk,clear,46,1.0,1.0,0.97
bus,night,clear,6,1.0,1.2,0.96
car,dusk,rain,26,1.25,1.0,1.0
bus,day,fog,42,1.15,1.2,0.91
bus,dawn,clear,29,1.0,1.2,0.97
bike,day,rain,27,1.25,0.8,0.95
bus,dusk,clear,37,1.0,1.2,0.97
car,day,rain,17,1.25,1.0,0.95
car,dusk,rain,30,1.25,1.0,1.0
car,dusk,fog,14,1.15,1.0,1.0
bus,dusk,rain,41,1.25,1.2,1.0
bus,dusk,snow,30,1.4,1.2,1.0
bike,dusk,fog,12,1.15,0.8,1.0
bike,dusk,rain,4,1.25,0.8,1.0
bus,dusk,rain,16,1.25,1.2,1.0
bus,dawn,rain,36,1.25,1.2,1.0
bus,dusk,rain,6,1.25,1.2,1.0
car,night,fog,22,1.15,1.0,0.81
bike,dawn,clear,44,1.0,0.8,0.97
car,night,clear,32,1.0,1.0,0.96
bike,day,rain,13,1.25,0.8,0.95
bike,day,snow,36,1.4,0.8,0.91
bus,day,snow,13,1.4,1.2,0.91
car,night,rain,1,1.25,1.0,0.92
bike,day,fog,33,1.15,0.8,0.91
bus,day,clear,14,1.0,1.2,1.0
bus,dawn,snow,41,1.4,1.2,1.0
bike,dusk,clear,45,1.0,0.8,0.97
car,night,rain,20,1.25,1.0,0.92
car,dusk,snow,27,1.4,1.0,1.0
car,night,rain,30,1.25,1.0,0.92
car,dawn,rain,25,1.25,1.0,1.0
bus,dusk,fog,47,1.15,1.2,1.0
car,dawn,snow,28,1.4,1.0,1.0
bus,night,clear,23,1.0,1.2,0.96
car,night,clear,36,1.0,1.0,0.96
car,night,clear,46,1.0,1.0,0.96
bike,dusk,snow,19,1.4,0.8,1.0
bike,day,snow,37,1.4,0.8,0.91
car,day,rain,24,1.25,1.0,0.95
car,day,fog,33,1.15,1.0,0.91
bus,dawn,fog,40,1.15,1.2,1.0
bus,night,fog,28,1.15,1.2,0.81
car,dusk,clear,6,1.0,1.0,0.97
bus,dawn,snow,45,1.4,1.2,1.0
bike,dawn,snow,17,1.4,0.8,1.0
car,night,clear,6,1.0,1.0,0.96
bus,dusk,clear,45,1.0,1.2,0.97
car,night,clear,28,1.0,1.0,0.96
car,dusk,snow,48,1.4,1.0,1.0
car,night,clear,42,1.0,1.0,0.96
bus,night,fog,43,1.15,1.2,0.81
bus,dusk,rain,32,1.25,1.2,1.0
car,dawn,rain,24,1.25,1.0,1.0
bike,dusk,rain,25,1.25,0.8,1.0
